title,brand,list_price,price,stock,url,category,branch_id
Balanza digital Aspen vidrio antideslizante B15,Aspen,None,38099.0,In Stock,https://www.hiperlibertad.com.ar/balanza-digital-aspen-antideslizante-b15-b-15/p,Cuidado_personal,12
Nebulizador Aspen ultrasónico NU320,Aspen,None,90299.0,In Stock,https://www.hiperlibertad.com.ar/nebulizador-aspen-ultrasonico-nu320/p,Cuidado_personal,12
SECADOR TEMPO CERAMIC,Mir,70199.0,56159.2,In Stock,https://www.hiperlibertad.com.ar/secador-de-pelo-gama-tempo-ceramic-2200w/p,Cuidado_personal,12
NEBULIZADOR ULTRASONICO NB 152 U ASPEN,Aspen,None,78399.0,In Stock,https://www.hiperlibertad.com.ar/nebulizador-ultrasonico-nb-152-u-aspen/p,Cuidado_personal,12
DEPILADORA GAMA OASIS SENSATION USB,Gama,81299.0,65039.2,In Stock,https://www.hiperlibertad.com.ar/depiladora-gama-oasis-sensation-usb/p,Cuidado_personal,12
Depiladora De Luz Pulsada Gama Verina,Gama,216699.0,173359.2,In Stock,https://www.hiperlibertad.com.ar/depiladora-de-luz-pulsada-gama-verina/p,Cuidado_personal,12
AFEITADORA ELECTRICA PHILIPS SATINSHAVE ESSENTIAL,Philips,None,13199.0,In Stock,https://www.hiperlibertad.com.ar/afeitadora-electrica-philips-satinshave-essential/p,Cuidado_personal,12
PLANCHITA BELLISIMA B9 100,Bellisima,None,49699.0,In Stock,https://www.hiperlibertad.com.ar/planchita-bellisima-b9-100/p,Cuidado_personal,12
TERMOMETRO DIGITAL MT31,Mir,None,4499.0,In Stock,https://www.hiperlibertad.com.ar/termometro-digital-aspen-mt31/p,Cuidado_personal,12
NEBULIZADOR A PISTON ASPEN BR-CN176,Aspen,None,64399.0,In Stock,https://www.hiperlibertad.com.ar/nebulizador-a-piston-aspen-br-cn176/p,Cuidado_personal,12
PLANCHA REMINGTON S1305 CERAMICA,Remington,None,17699.0,In Stock,https://www.hiperlibertad.com.ar/planchita-de-pelo-remington-s1305/p,Cuidado_personal,12
SECADOR DE PELO BELLISIMA K9 2300,Bellisima,None,135595.0,In Stock,https://www.hiperlibertad.com.ar/secador-de-pelo-bellisima-k9-2300/p,Cuidado_personal,12
SECADOR DE PELO BELLISSIMA S9 22,Bellisima,None,72299.0,In Stock,https://www.hiperlibertad.com.ar/secador-de-pelo-bellissima-s9-22/p,Cuidado_personal,12
PLANCHA PARA EL PELO ELEGANCE LED BELLA TOURMALINE GAMA,Gama,69499.0,55599.2,In Stock,https://www.hiperlibertad.com.ar/plancha-para-el-pelo-elegance-led-bella-tourmaline-gama/p,Cuidado_personal,12
AFEITADORA ELECTRICA GA.MA GSH-1525 S,Gama,56099.0,44879.2,In Stock,https://www.hiperlibertad.com.ar/afeitadora-electrica-ga-ma-gsh-1525-s/p,Cuidado_personal,12
DEPILADORA GAMA OASIS LOOK USB,Gama,66899.0,53519.2,In Stock,https://www.hiperlibertad.com.ar/depiladora-gama-oasis-look-usb/p,Cuidado_personal,12
Combo GAMA T744 Cortadora De Pelo Black Titanium T742 + Trimmer Nariz T312,Gama,45199.0,36159.2,In Stock,https://www.hiperlibertad.com.ar/combo-gama-t744-cortadora-de-pelo-black-titanium-t742-trimmer-nariz-t312/p,Cuidado_personal,12
