title,brand,list_price,price,stock,url,branch_id,category,subcategory
"Agua Saborizada Aquarius Manzana 1,5 Lt",Aquarius,,658.0,In Stock,https://www.hiperlibertad.com.ar/agua-saborizada-aquarius-manzana-1-5-lt/p,12,bebidas,aguas
Agua Saborizada Villa del Sur Levité Cero Naranja 1.5 lt,Levité,,503.0,In Stock,https://www.hiperlibertad.com.ar/agua-saborizada-villa-del-sur-levit-cero-naranja-1-5-lt/p,12,bebidas,aguas
SODA SALDAN X2.25L,Saldan,,551.0,In Stock,https://www.hiperlibertad.com.ar/soda-saldan-2-25-lt/p,12,bebidas,aguas
"AGUA SABORIZADA MAGNA CITRUS X 2,25L",Magna,,751.0,In Stock,https://www.hiperlibertad.com.ar/agua-saborizada-magna-citrus-x-2-25l/p,12,bebidas,aguas
AGUA MIN S/G S.PADRES X2L,Mir,,497.0,In Stock,https://www.hiperlibertad.com.ar/agua-sierra-de-los-padres-2-l/p,12,bebidas,aguas
Agua Saborizada VILLA DEL SUR LEVITE Naranja 1.5 L,Levité,,503.0,In Stock,https://www.hiperlibertad.com.ar/agua-saborizada-villa-del-sur-levite-naranja-1-5-l/p,12,bebidas,aguas
Agua Saborizada Livra Pera 1.5 lt,Livra,,651.0,In Stock,https://www.hiperlibertad.com.ar/agua-saborizada-livra-pera-1-5-lt/p,12,bebidas,aguas
Agua Saborizada Livra Pomelo 1.5 lt,Livra,,651.0,In Stock,https://www.hiperlibertad.com.ar/agua-saborizada-livra-pomelo-1-5-lt/p,12,bebidas,aguas
Agua Saborizada Livra Naranja 1.5 lt,Livra,,651.0,In Stock,https://www.hiperlibertad.com.ar/agua-saborizada-livra-naranja-1-5-lt/p,12,bebidas,aguas
APERITIVO MARTINI BIANCO X 1 L,Martini,3362.0,2143.5,In Stock,https://www.hiperlibertad.com.ar/aperitivo-martini-bianco-x-1-l/p,12,bebidas,aperitivos
"Amargo Serrano Terma 1,35 lt",Terma,,707.0,In Stock,https://www.hiperlibertad.com.ar/amargo-serrano-terma-1-35-lt/p,12,bebidas,aperitivos
APERITIVO PIMMS BITTER 750 CC,Mir,2902.0,1885.99,In Stock,https://www.hiperlibertad.com.ar/aperitivo-pimms-bitter-750-cc/p,12,bebidas,aperitivos
APERITIVO LILLET ROSE X 750 Ml,Lillet,,6368.0,In Stock,https://www.hiperlibertad.com.ar/aperitivo-lillet-rose-x-750-ml/p,12,bebidas,aperitivos
BEBIDA APERITIVO PINERAL X 750 Ml,Mir,2204.0,1474.99,In Stock,https://www.hiperlibertad.com.ar/bebida-aperitivo-pineral-x-750-ml/p,12,bebidas,aperitivos
Fernet Branca menta 450 Cc,Branca,3521.0,2239.99,In Stock,https://www.hiperlibertad.com.ar/fernet-branca-menta-450-cc/p,12,bebidas,aperitivos
"Amargo Cuyano Termina 1,35 lt",Terma,,707.0,In Stock,https://www.hiperlibertad.com.ar/amargo-cuyano-termina-1-35-lt/p,12,bebidas,aperitivos
Martini Rosso Vermouth Extra Dry Botella 995 mL,Martini,3365.0,2144.99,In Stock,https://www.hiperlibertad.com.ar/martini-rosso-vermouth-extra-dry-botella-995-ml/p,12,bebidas,aperitivos
Vino Carpano Bianco x950ml,Carpano,2812.0,1740.99,In Stock,https://www.hiperlibertad.com.ar/ap-carpano-bianco/p,12,bebidas,aperitivos
Aperitivo con Alcohol Gancia con Vodka Spritz Hibiscus Lata x 473 cc,Gancia,841.0,562.5,In Stock,https://www.hiperlibertad.com.ar/aperitivo-con-alcohol-gancia-con-vodka-spritz-hibiscus-lata-x-473-cc/p,12,bebidas,aperitivos
"Amargo Limon Terma 1,35 lt",Terma,,707.0,In Stock,https://www.hiperlibertad.com.ar/amargo-limon-terma-1-35-lt/p,12,bebidas,aperitivos
"LATA MEET HS LIMA 4,5% 310ML",Mir,,604.0,In Stock,https://www.hiperlibertad.com.ar/bebida-meet-hard-seltzer-lima-4-5-x-310-ml/p,12,bebidas,aperitivos
Fernet Brancamenta 750 cc,Branca,5446.0,3460.99,In Stock,https://www.hiperlibertad.com.ar/fernet-brancamenta-750-cc/p,12,bebidas,aperitivos
BEBIDA MEET HARD SELTZER MANGO LATA X 310 ML.,Mir,,604.0,In Stock,https://www.hiperlibertad.com.ar/bebida-meet-hard-seltzer-mango-4-5-x-310-ml/p,12,bebidas,aperitivos
Americano Dr. Lemon Naranja 1L,Dr Lemon,,1177.0,In Stock,https://www.hiperlibertad.com.ar/americano-dr-lemon-naranja-1l/p,12,bebidas,aperitivos
"Amargo Serrano Cero Terma 1,35",Terma,,707.0,In Stock,https://www.hiperlibertad.com.ar/amargo-serrano-cero-terma-1-35/p,12,bebidas,aperitivos
DR MOJITO X1 LITRO,Mir,,1236.0,In Stock,https://www.hiperlibertad.com.ar/dr-lemon-mojito-x-1-lt/p,12,bebidas,aperitivos
APERITIVO CINZANO BIANCO AMERICANO 1000 CC,Cinzano,,1462.61,In Stock,https://www.hiperlibertad.com.ar/aperitivo-cinzano-bianco-americano-1000-cc/p,12,bebidas,aperitivos
Vermouth Carpano Rosso 950 cc.,Carpano,,3159.0,In Stock,https://www.hiperlibertad.com.ar/vermouth-carpano-rosso-950-cc/p,12,bebidas,aperitivos
FERNET BRANCA 750ML,Branca,,5189.0,In Stock,https://www.hiperlibertad.com.ar/fernet-branca-750ml/p,12,bebidas,aperitivos
