title,brand,list_price,price,stock,url,branch_id,category,subcategory
PALITA PARA CENIZAS X1UN,Mir,,3259.0,In stock,https://www.hiperlibertad.com.ar/palita-para-cenizas-x1un/p,12,aire-libre-y-jardin,asador
DIABLITO,SERVI HIERROS,,13749.0,In stock,https://www.hiperlibertad.com.ar/diablito/p,12,aire-libre-y-jardin,asador
PINCHE BROCHETTE DOB X1UN,Mir,,2719.0,In stock,https://www.hiperlibertad.com.ar/pinche-brochette-dob-x1un/p,12,aire-libre-y-jardin,asador
DISCO SARTEN 45 CM,SERVI HIERROS,,36119.0,In stock,https://www.hiperlibertad.com.ar/disco-sarten-45-cm/p,12,aire-libre-y-jardin,asador
ATIZADOR PARA CARBON X1UN,Mir,,3089.0,In stock,https://www.hiperlibertad.com.ar/atizador-para-carbon-x1un/p,12,aire-libre-y-jardin,asador
PINZA PARA BRAZAS X1UN,Mir,,3089.0,In stock,https://www.hiperlibertad.com.ar/pinza-para-brazas-x1un/p,12,aire-libre-y-jardin,asador
"Parrilla de hierro de 45 x 80 cm con malla de 2,5 x 2,5 cm",Genérico,,31549.0,In stock,https://www.hiperlibertad.com.ar/parrilla-de-hierro-de-45-x-80-cm-con-malla-de-2-5-x-2-5-cm/p,12,aire-libre-y-jardin,asador
TENEDOR ASADO X1 UN,finlandek,,2679.0,In stock,https://www.hiperlibertad.com.ar/tenedor-asado-x1-un/p,12,aire-libre-y-jardin,asador
PINCHE ACHURAS X1UN,Mir,,2729.0,In stock,https://www.hiperlibertad.com.ar/pinche-achuras-x1un/p,12,aire-libre-y-jardin,asador
PINCHE BROCHETTE 105 X1UN,Mir,,1789.0,In stock,https://www.hiperlibertad.com.ar/pinche-brochette-105-x1un/p,12,aire-libre-y-jardin,asador
Leñero de hierro de 30 x 40 cm,Genérico,,24279.0,In stock,https://www.hiperlibertad.com.ar/lenero-de-hierro-de-30-x-40-cm/p,12,aire-libre-y-jardin,asador
Parrilla plegable de hierro 40x60cm,SERVI HIERROS,,21659.0,In stock,https://www.hiperlibertad.com.ar/parrilla-40x60-plegable/p,12,aire-libre-y-jardin,asador
Juego de herramientas para asador de hierro,Genérico,,11709.0,In stock,https://www.hiperlibertad.com.ar/juego-de-herramientas-para-asador-de-hierro/p,12,aire-libre-y-jardin,asador
FAROL DE LED A PILA 3 POSICIONES,Mir,,9759.0,In stock,https://www.hiperlibertad.com.ar/farol-de-led-a-pila-3-posiciones/p,12,aire-libre-y-jardin,camping
Inflador Manual Double Quick Mini,INTEX,2999.0,2549.15,In stock,https://www.hiperlibertad.com.ar/inflador-doble-quick-mini-int/p,12,aire-libre-y-jardin,camping
Farol de LED con imán a pila,Mir,,7789.0,In stock,https://www.hiperlibertad.com.ar/farol-de-led-con-im-n-a-pila/p,12,aire-libre-y-jardin,camping
ALMOHADA INFLABLE 68672 INTEX,INTEX,1999.0,1699.15,In stock,https://www.hiperlibertad.com.ar/almohada-inflable-intex-68672-x-1-u/p,12,aire-libre-y-jardin,camping
Colchon Inflable Fiber-Tech INTEX 137 X 191 X 25 Cm Mediano,INTEX,28799.0,24479.15,In stock,https://www.hiperlibertad.com.ar/colchon-inflable-fiber-tech-intex-137x191x25-cm-mediano/p,12,aire-libre-y-jardin,camping
